Organization-Wide Defaults		Organization-Wide Defaults Help  
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Calls Sharing Rules	 	Calls Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read Only
 
Call Type Sharing Rules	 	Call Type Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read Only
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read Only
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read Only
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Campaign Sharing Rules	 	Campaign Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Competitor Tracking Sharing Rules	 	Competitor Tracking Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Compliance Score Sharing Rules	 	Compliance Score Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read Only
 
Config Activity Filter Sharing Rules	 	Config Activity Filter Sharing Rules Help  
				

No sharing rules specified.
 
Contract Header Sharing Rules	 	Contract Header Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Credit Details Sharing Rules	 	Credit Details Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read Only
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read Only
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read Only
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read Only
 
Credit Note Sharing Rules	 	Credit Note Sharing Rules Help  
				

No sharing rules specified.
 
Digital Content Sharing Rules	 	Digital Content Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv
Role: Australia_AustraliaDiv
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv
Role: NewZealand_NewZealandDiv
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Discount Sharing Rules	 	Discount Sharing Rules Help  
				

No sharing rules specified.
 
Discount Apply Detail Sharing Rules	 	Discount Apply Detail Sharing Rules Help  
			

No sharing rules specified.
 
Discount Mapping Sharing Rules	 	Discount Mapping Sharing Rules Help  
			

No sharing rules specified.
 
Error Log Sharing Rules	 	Error Log Sharing Rules Help  
			

No sharing rules specified.
 
File Format Sharing Rules	 	File Format Sharing Rules Help  
			

No sharing rules specified.
 
Freshness Check Sharing Rules	 	Freshness Check Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Geographical Hierarchy Sharing Rules	 	Geographical Hierarchy Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
HHT Menu Master Sharing Rules	 	HHT Menu Master Sharing Rules Help  
				

No sharing rules specified.
 
HHT Module Master Sharing Rules	 	HHT Module Master Sharing Rules Help  
			

No sharing rules specified.
 
Holiday Sharing Rules	 	Holiday Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Incentive Master Sharing Rules	 	Incentive Master Sharing Rules Help  
				

No sharing rules specified.
 
Incentive Scheme Sharing Rules	 	Incentive Scheme Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read/Write
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read/Write
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read/Write
 
Initiative Master Sharing Rules	 	Initiative Master Sharing Rules Help  
				

No sharing rules specified.
 
Invoice Sharing Rules	 	Invoice Sharing Rules Help  
			

No sharing rules specified.
 
LabelsMaster Sharing Rules	 	LabelsMaster Sharing Rules Help  
			

No sharing rules specified.
 
Local Classification Definition Sharing Rules	 	Local Classification Definition Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Location Sharing Rules	 	Location Sharing Rules Help  
				

No sharing rules specified.
 
Loyalty Point Sharing Rules	 	Loyalty Point Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Mixed SKU Detail Sharing Rules	 	Mixed SKU Detail Sharing Rules Help  
				

No sharing rules specified.
 
Mixed SKU Detail (DEPRECATED) Sharing Rules	 	Mixed SKU Detail (DEPRECATED) Sharing Rules Help  
			

No sharing rules specified.
 
Odometer Tracking Sharing Rules	 	Odometer Tracking Sharing Rules Help  
			

No sharing rules specified.
 
Order Sharing Rules	 	Order Sharing Rules Help  
			

No sharing rules specified.
 
Organizational Hierarchy Sharing Rules	 	Organizational Hierarchy Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Organization Hierarchy Sharing Rules	 	Organization Hierarchy Sharing Rules Help  
				

No sharing rules specified.
 
Outlet Subtype Sharing Rules	 	Outlet Subtype Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read Only
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read Only
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read Only
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Payment Sharing Rules	 	Payment Sharing Rules Help  
				

No sharing rules specified.
 
Payment Reconciliation Detail Sharing Rules	 	Payment Reconciliation Detail Sharing Rules Help  
			

No sharing rules specified.
 
Period Sharing Rules	 	Period Sharing Rules Help  
			

No sharing rules specified.
 
Photo Capture Tracking Sharing Rules	 	Photo Capture Tracking Sharing Rules Help  
			

No sharing rules specified.
 
Picklist Sharing Rules	 	Picklist Sharing Rules Help  
			

No sharing rules specified.
 
Picklist Detail Sharing Rules	 	Picklist Detail Sharing Rules Help  
			

No sharing rules specified.
 
Planogram Master Sharing Rules	 	Planogram Master Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Planogram Tracking Sharing Rules	 	Planogram Tracking Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Position Sharing Rules	 	Position Sharing Rules Help  
				

No sharing rules specified.
 
Price Check Sharing Rules	 	Price Check Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Price Check Tracking Sharing Rules	 	Price Check Tracking Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Role: NewZealand_NewZealandDiv_NewZealandDummyReg
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
 
Price List Sharing Rules	 	Price List Sharing Rules Help  
				

No sharing rules specified.
 
Price List Mapping Sharing Rules	 	Price List Mapping Sharing Rules Help  
			

No sharing rules specified.
 
Price Promotion Sharing Rules	 	Price Promotion Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read/Write
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read/Write
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read/Write
 
Product Group Sharing Rules	 	Product Group Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Product Group Detail Sharing Rules	 	Product Group Detail Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Product Hierarchy Sharing Rules	 	Product Hierarchy Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Product Master Sharing Rules	 	Product Master Sharing Rules Help  
				

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Promotion Sharing Rules	 	Promotion Sharing Rules Help  
				

No sharing rules specified.
 
Query Filter Sharing Rules	 	Query Filter Sharing Rules Help  
			

No sharing rules specified.
 
Question Sharing Rules	 	Question Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read/Write
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read/Write
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read/Write
 
Question Group Sharing Rules	 	Question Group Sharing Rules Help  
				

No sharing rules specified.
 
Reason Master (DEPRECATED) Sharing Rules	 	Reason Master (DEPRECATED) Sharing Rules Help  
			

No sharing rules specified.
 
Resource Sharing Rules	 	Resource Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv
Role: Australia_AustraliaDiv
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
Role: Australia_AustraliaDiv_NSW/ACT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_QLD
Role: Australia_AustraliaDiv_QLD
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_SA/NT
Role: Australia_AustraliaDiv_SA/NT
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_VIC/TAS
Role: Australia_AustraliaDiv_VIC/TAS
Read/Write
Edit | Del
Owner in Role: Australia_AustraliaDiv_WA
Role: Australia_AustraliaDiv_WA
Read/Write
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv
Role: NewZealand_NewZealandDiv
Read/Write
Edit | Del
Owner in Role: NewZealand_NewZealandDiv_NewZealandReg
Role: NewZealand_NewZealandDiv_NewZealandReg
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_East
Role: Ukraine_UkraineDiv_East
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_North
Role: Ukraine_UkraineDiv_North
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_South
Role: Ukraine_UkraineDiv_South
Read/Write
Edit | Del
Owner in Role: Ukraine_UkraineDiv_West
Role: Ukraine_UkraineDiv_West
Read/Write
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Resource(Deprecated) Sharing Rules	 	Resource(Deprecated) Sharing Rules Help  
				

No sharing rules specified.
 
Resource Territory Mapping Sharing Rules	 	Resource Territory Mapping Sharing Rules Help  
			

No sharing rules specified.
 
Resource Type Sharing Rules	 	Resource Type Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia
Role: Australia
Read Only
Edit | Del
Owner in Role: NewZealand
Role: NewZealand
Read Only
Edit | Del
Owner in Role: Ukraine
Role: Ukraine
Read Only
Edit | Del
Owner in Role and Subordinates: Australia
Role and Subordinates: Australia
Read Only
Edit | Del
Owner in Role and Subordinates: NewZealand
Role and Subordinates: NewZealand
Read Only
Edit | Del
Owner in Role and Subordinates: Ukraine
Role and Subordinates: Ukraine
Read Only
 
Resource Type(Deprecated) Sharing Rules	 	Resource Type(Deprecated) Sharing Rules Help  
				

No sharing rules specified.
 
Retail Audit Tracking Sharing Rules	 	Retail Audit Tracking Sharing Rules Help  
			

Action	Criteria	Shared With	Access Level
Edit | Del
Owner in Role: Australia_AustraliaDiv_NSW/ACT
